,Comuna,causa,n_def,Nombre Comuna,Poblacion 2017,tasa_def,prop_rural,etnia,ingreso,tasa_denuncias,region,rm,tiempo_hospital
114,7201,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",30.0,Cauquenes,43590.0,68.82312456985547,18.45606790548291,0.7633043230132687,235310.9848052504,1113.5497285433753,7.0,0.0,23.73
115,7202,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",9.0,Chanco,9320.0,96.56652360515021,55.62231759656653,1.7806731813246472,192070.66232356135,792.0582954905482,7.0,0.0,19.14
116,7203,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",3.0,Pelluhue,7763.0,38.64485379363648,48.02267164755894,1.596709810088303,191715.8409338333,1518.7937062937062,7.0,0.0,55.93
118,7302,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",10.0,Hualañé,10137.0,98.64851533984414,39.17332544145211,1.8279261173318022,219185.92391616423,496.4200477326969,7.0,0.0,13.55
119,7303,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",6.0,Licantén,6939.0,86.46779074794638,26.415910073497624,13.20480654958405,203456.76746335666,932.5771896660366,7.0,0.0,22.86
120,7304,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",17.0,Molina,47723.0,35.622236657376945,18.112859627433313,1.8731621477691078,238288.36650536017,837.997464361916,7.0,0.0,12.05
121,7305,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Rauco,10786.0,37.08511032820323,46.347116632671984,3.8696337140606536,234088.25994486018,6411.923669332152,7.0,0.0,24
122,7306,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",7.0,Romeral,15500.0,45.16129032258064,56.045161290322575,7.3604060913705585,234640.4670718675,1215.6656590879222,7.0,0.0,23.14
123,7307,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",9.0,Sagrada Familia,19103.0,47.11301889755536,57.26849185991729,0.9126605115143797,210865.45824047542,860.6034849128771,7.0,0.0,26.07
124,7308,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",15.0,Teno,29855.0,50.24284039524368,66.74593870373472,2.646456080842343,248431.77842555297,1182.2315494928296,7.0,0.0,14.24
125,7309,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",2.0,Vichuquén,4409.0,45.36176003628941,65.45701973236562,10.870947234583598,266226.8777283323,794.459156651049,7.0,0.0,43.88
127,7402,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Colbún,21704.0,23.037228160707706,55.75009214891264,0.8677486742728587,196872.0176763619,1272.6304579339724,7.0,0.0,34.39
128,7403,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",24.0,Longaví,31924.0,75.17854905400326,69.11727853652424,3.4831972526894903,171876.79524827417,666.83548577699,7.0,0.0,35.45
129,7404,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",23.0,Parral,43412.0,52.98074265180135,25.668018059522712,1.557249405786411,223150.61888369804,2621.628434585329,7.0,0.0,12.85
130,7405,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",11.0,Retiro,20592.0,53.41880341880342,63.81118881118881,0.0,166168.67639992607,2319.31591894108,7.0,0.0,23.19
131,7406,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",22.0,San Javier,47583.0,46.23499989492045,28.075152890738288,3.065004236775209,230872.77627405882,1416.2812432600829,7.0,0.0,16.71
132,7407,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",9.0,Villa Alegre,16992.0,52.96610169491525,40.477871939736346,1.5242396443440829,216972.06541528474,1249.3892650240805,7.0,0.0,16.58
133,7408,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",17.0,Yerbas Buenas,18612.0,91.33892112615517,64.70556630131098,1.8819553691079647,209656.2395851541,1170.7035755478662,7.0,0.0,22.43
137,8104,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Florida,11760.0,34.01360544217687,56.292517006802726,7.386301369863013,202031.18739726028,1856.370001060783,8.0,0.0,20.38
138,8105,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",9.0,Hualqui,25552.0,35.222291797119595,13.975422667501567,8.48507217847769,199463.2407316273,1238.0485413091444,8.0,0.0,16.24
139,8106,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",20.0,Lota,45920.0,43.55400696864111,0.4006968641114983,10.310435931307795,221295.45442536328,1076.6307789740342,8.0,0.0,4.28
140,8107,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",23.0,Penco,49371.0,46.58605254096535,0.9823580644507909,5.891948438802106,244280.634550258,1510.9744459760366,8.0,0.0,5.57
142,8109,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",11.0,Santa Juana,14602.0,75.33214628133132,30.24243254348719,5.479756784813881,259006.69887290522,2221.0819527928456,8.0,0.0,12.65
146,8201,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",13.0,Lebu,26927.0,48.27867939243139,7.542615218925243,14.849141389825068,282357.4043492216,1712.9448572545953,8.0,0.0,11.65
147,8202,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",19.0,Arauco,38274.0,49.64205465851492,24.47875842608559,17.14784506273868,280185.80746317515,1387.8933993614387,8.0,0.0,17.83
148,8203,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",36.0,Cañete,36448.0,98.7708516242318,43.17932396839333,19.83225580988992,219037.0781932553,1790.8123540098622,8.0,0.0,20.04
149,8204,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",11.0,Contulmo,6280.0,175.15923566878982,50.605095541401276,23.266986959505832,184522.09402882637,1743.6791630340017,8.0,0.0,25.96
150,8205,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",14.0,Curanilahue,33701.0,41.54179401204712,6.0116910477433905,9.983627686626956,227241.53635001916,2510.0712736287574,8.0,0.0,9.56
151,8206,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",14.0,Los Álamos,22067.0,63.44315040558299,10.52703131372638,23.88408185688779,203340.84461841322,2062.2202709789144,8.0,0.0,36.59
152,8207,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",15.0,Tirúa,10889.0,137.75369639085315,63.6973092111305,45.69218458255535,192147.4833288877,176.3668430335097,8.0,0.0,176.58
154,8302,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",2.0,Antuco,4266.0,46.882325363338026,49.76558837318331,1.642281277993431,214216.03792176768,893.8547486033519,8.0,0.0,63.77
155,8303,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",13.0,Cabrero,30229.0,43.00506136491449,23.725561546858977,0.6910197869101978,219605.47926940638,1042.870173304956,8.0,0.0,30.49
156,8304,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",8.0,Laja,23729.0,33.71402081840786,27.236714568671243,3.881571902773316,199030.33761644716,1382.4884792626729,8.0,0.0,13.86
